address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,dallas_amb_c,dallas_roof_c,panel_ua,humidity_centi_pct
112,2013-09-19 17:55:58.203396-10,148540,359,100900,4161,135,,4990,,,,0
112,2013-09-19 17:55:57.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:56.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:55.203396-10,,,,,,,4993,,,,
112,2013-09-19 17:55:54.203396-10,,,,4149,120,,4988,,,,
112,2013-09-19 17:55:53.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:52.203396-10,,,,,,,4993,,,,
112,2013-09-19 17:55:51.203396-10,,,,,,,4992,,,,
112,2013-09-19 17:55:50.203396-10,,,,4148,116,,4990,,,,
112,2013-09-19 17:55:49.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:48.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:47.203396-10,,,,,,,4993,,,,
112,2013-09-19 17:55:46.203396-10,,,,4151,124,,4989,,,,
112,2013-09-19 17:55:45.203396-10,,,,,,,4995,,,,
112,2013-09-19 17:55:44.203396-10,,,,,,,4997,,,,
112,2013-09-19 17:55:43.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:42.203396-10,,,,4154,115,,4991,,,,
112,2013-09-19 17:55:41.203396-10,,,,,,,4989,,,,
112,2013-09-19 17:55:40.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:39.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:38.203396-10,,,,4152,126,,4989,,,,
112,2013-09-19 17:55:37.203396-10,,,,,,,4983,,,,
112,2013-09-19 17:55:36.203396-10,,,,,,,4986,,,,
112,2013-09-19 17:55:35.203396-10,,,,,,,4988,,,,
112,2013-09-19 17:55:34.203396-10,,,,4165,105,,4986,,,,
112,2013-09-19 17:55:33.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:32.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:31.203396-10,,,,,,,4992,,,,
112,2013-09-19 17:55:30.203396-10,,,,4156,123,,4992,,,,
112,2013-09-19 17:55:29.203396-10,,,,,,,4992,,,,
112,2013-09-19 17:55:28.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:27.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:26.203396-10,,,,4163,115,,4990,,,,
112,2013-09-19 17:55:25.203396-10,,,,,,,4989,,,,
112,2013-09-19 17:55:24.203396-10,,,,,,,4992,,,,
112,2013-09-19 17:55:23.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:22.203396-10,,,,4152,109,,4987,,,,
112,2013-09-19 17:55:21.203396-10,,,,,,,4995,,,,
112,2013-09-19 17:55:20.203396-10,,,,,,,4988,,,,
112,2013-09-19 17:55:19.203396-10,,,,,,,4993,,,,
112,2013-09-19 17:55:18.203396-10,,,,4141,114,,4989,,,,
112,2013-09-19 17:55:17.203396-10,,,,,,,4993,,,,
112,2013-09-19 17:55:16.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:15.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:14.203396-10,,,,4161,127,,4992,,,,
112,2013-09-19 17:55:13.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:12.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:11.203396-10,,,,,,,4988,,,,
112,2013-09-19 17:55:10.203396-10,,,,4151,124,,4990,,,,
112,2013-09-19 17:55:09.203396-10,,,,,,,4994,,,,
112,2013-09-19 17:55:08.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:07.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:06.203396-10,,,,4146,121,,4989,,,,
112,2013-09-19 17:55:05.203396-10,,,,,,,4990,,,,
112,2013-09-19 17:55:04.203396-10,,,,,,,4991,,,,
112,2013-09-19 17:55:03.203396-10,,,,,,,4992,,,,
112,2013-09-19 17:55:02.203396-10,,,,4154,119,,4992,,,,
112,2013-09-19 17:55:01.203396-10,,,,,,,4988,,,,
112,2013-09-19 17:55:00.203396-10,,,,,,,4992,,,,
112,2013-09-19 17:54:59.203396-10,,,,,,,4998,,,,
115,2013-09-19 17:56:26.25339-10,108622,272,101042,4044,82,,8,,,,0
115,2013-09-19 17:56:25.25339-10,,,,,,,6,,,,
115,2013-09-19 17:56:24.25339-10,,,,,,,9,,,,
115,2013-09-19 17:56:23.25339-10,,,,,,,4,,,,
115,2013-09-19 17:56:22.25339-10,,,,4049,91,,6,,,,
115,2013-09-19 17:56:21.25339-10,,,,,,,6,,,,
115,2013-09-19 17:56:20.25339-10,,,,,,,7,,,,
115,2013-09-19 17:56:19.25339-10,,,,,,,12,,,,
115,2013-09-19 17:56:18.25339-10,,,,4067,93,,8,,,,
115,2013-09-19 17:56:17.25339-10,,,,,,,7,,,,
115,2013-09-19 17:56:16.25339-10,,,,,,,8,,,,
115,2013-09-19 17:56:15.25339-10,,,,,,,11,,,,
115,2013-09-19 17:56:14.25339-10,,,,4058,101,,8,,,,
115,2013-09-19 17:56:13.25339-10,,,,,,,5,,,,
115,2013-09-19 17:56:12.25339-10,,,,,,,8,,,,
115,2013-09-19 17:56:11.25339-10,,,,,,,7,,,,
115,2013-09-19 17:56:10.25339-10,,,,4075,77,,12,,,,
115,2013-09-19 17:56:09.25339-10,,,,,,,9,,,,
115,2013-09-19 17:56:08.25339-10,,,,,,,6,,,,
115,2013-09-19 17:56:07.25339-10,,,,,,,8,,,,
115,2013-09-19 17:56:06.25339-10,,,,4069,88,,11,,,,
115,2013-09-19 17:56:05.25339-10,,,,,,,4,,,,
115,2013-09-19 17:56:04.25339-10,,,,,,,5,,,,
115,2013-09-19 17:56:03.25339-10,,,,,,,5,,,,
115,2013-09-19 17:56:02.25339-10,,,,4052,92,,8,,,,
115,2013-09-19 17:56:01.25339-10,,,,,,,11,,,,
115,2013-09-19 17:56:00.25339-10,,,,,,,10,,,,
115,2013-09-19 17:55:59.25339-10,,,,,,,7,,,,
115,2013-09-19 17:55:58.25339-10,,,,4061,113,,7,,,,
115,2013-09-19 17:55:57.25339-10,,,,,,,12,,,,
115,2013-09-19 17:55:56.25339-10,,,,,,,3,,,,
115,2013-09-19 17:55:55.25339-10,,,,,,,7,,,,
115,2013-09-19 17:55:54.25339-10,,,,4044,98,,5,,,,
115,2013-09-19 17:55:53.25339-10,,,,,,,10,,,,
115,2013-09-19 17:55:52.25339-10,,,,,,,8,,,,
115,2013-09-19 17:55:51.25339-10,,,,,,,8,,,,
115,2013-09-19 17:55:50.25339-10,,,,4045,80,,5,,,,
115,2013-09-19 17:55:49.25339-10,,,,,,,7,,,,
115,2013-09-19 17:55:48.25339-10,,,,,,,7,,,,
115,2013-09-19 17:55:47.25339-10,,,,,,,4,,,,
115,2013-09-19 17:55:46.25339-10,,,,4052,98,,8,,,,
115,2013-09-19 17:55:45.25339-10,,,,,,,5,,,,
115,2013-09-19 17:55:44.25339-10,,,,,,,13,,,,
115,2013-09-19 17:55:43.25339-10,,,,,,,7,,,,
115,2013-09-19 17:55:42.25339-10,,,,4063,77,,12,,,,
115,2013-09-19 17:55:41.25339-10,,,,,,,6,,,,
115,2013-09-19 17:55:40.25339-10,,,,,,,7,,,,
115,2013-09-19 17:55:39.25339-10,,,,,,,12,,,,
115,2013-09-19 17:55:38.25339-10,,,,4067,86,,11,,,,
115,2013-09-19 17:55:37.25339-10,,,,,,,2,,,,
115,2013-09-19 17:55:36.25339-10,,,,,,,8,,,,
115,2013-09-19 17:55:35.25339-10,,,,,,,5,,,,
115,2013-09-19 17:55:34.25339-10,,,,4073,82,,14,,,,
115,2013-09-19 17:55:33.25339-10,,,,,,,6,,,,
115,2013-09-19 17:55:32.25339-10,,,,,,,6,,,,
115,2013-09-19 17:55:31.25339-10,,,,,,,4,,,,
115,2013-09-19 17:55:30.25339-10,,,,4056,85,,2,,,,
115,2013-09-19 17:55:29.25339-10,,,,,,,5,,,,
115,2013-09-19 17:55:28.25339-10,,,,,,,9,,,,
115,2013-09-19 17:55:27.25339-10,,,,,,,9,,,,
112,2013-09-19 17:57:39.65146-10,,,,4148,1,,4993,,,,
112,2013-09-19 17:57:38.65146-10,,,,,,,4997,,,,
112,2013-09-19 17:57:37.65146-10,,,,,,,4989,,,,
112,2013-09-19 17:57:36.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:35.65146-10,,,,4152,125,,4991,,,,
112,2013-09-19 17:57:34.65146-10,,,,,,,4989,,,,
112,2013-09-19 17:57:33.65146-10,,,,,,,4989,,,,
112,2013-09-19 17:57:32.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:31.65146-10,,,,4167,138,,4994,,,,
112,2013-09-19 17:57:30.65146-10,,,,,,,4986,,,,
112,2013-09-19 17:57:29.65146-10,,,,,,,4990,,,,
119,2013-09-19 17:56:29.291384-10,137747,291,101038,4106,106,,104,,,,0
119,2013-09-19 17:56:28.291384-10,,,,,,,104,,,,
119,2013-09-19 17:56:27.291384-10,,,,,,,86,,,,
119,2013-09-19 17:56:26.291384-10,,,,,,,26,,,,
119,2013-09-19 17:56:25.291384-10,,,,4103,112,,88,,,,
119,2013-09-19 17:56:24.291384-10,,,,,,,75,,,,
119,2013-09-19 17:56:23.291384-10,,,,,,,62,,,,
119,2013-09-19 17:56:22.291384-10,,,,,,,60,,,,
119,2013-09-19 17:56:21.291384-10,,,,4108,112,,62,,,,
119,2013-09-19 17:56:20.291384-10,,,,,,,76,,,,
119,2013-09-19 17:56:19.291384-10,,,,,,,538,,,,
119,2013-09-19 17:56:18.291384-10,,,,,,,463,,,,
119,2013-09-19 17:56:17.291384-10,,,,4100,113,,471,,,,
119,2013-09-19 17:56:16.291384-10,,,,,,,478,,,,
119,2013-09-19 17:56:15.291384-10,,,,,,,586,,,,
119,2013-09-19 17:56:14.291384-10,,,,,,,83,,,,
119,2013-09-19 17:56:13.291384-10,,,,4107,100,,35,,,,
119,2013-09-19 17:56:12.291384-10,,,,,,,54,,,,
119,2013-09-19 17:56:11.291384-10,,,,,,,47,,,,
119,2013-09-19 17:56:10.291384-10,,,,,,,17,,,,
119,2013-09-19 17:56:09.291384-10,,,,4108,99,,44,,,,
119,2013-09-19 17:56:08.291384-10,,,,,,,62,,,,
119,2013-09-19 17:56:07.291384-10,,,,,,,68,,,,
119,2013-09-19 17:56:06.291384-10,,,,,,,83,,,,
119,2013-09-19 17:56:05.291384-10,,,,4105,112,,104,,,,
119,2013-09-19 17:56:04.291384-10,,,,,,,94,,,,
119,2013-09-19 17:56:03.291384-10,,,,,,,72,,,,
119,2013-09-19 17:56:02.291384-10,,,,,,,71,,,,
119,2013-09-19 17:56:01.291384-10,,,,4105,103,,65,,,,
119,2013-09-19 17:56:00.291384-10,,,,,,,76,,,,
119,2013-09-19 17:55:59.291384-10,,,,,,,74,,,,
119,2013-09-19 17:55:58.291384-10,,,,,,,76,,,,
119,2013-09-19 17:55:57.291384-10,,,,4105,103,,79,,,,
119,2013-09-19 17:55:56.291384-10,,,,,,,78,,,,
119,2013-09-19 17:55:55.291384-10,,,,,,,78,,,,
119,2013-09-19 17:55:54.291384-10,,,,,,,70,,,,
119,2013-09-19 17:55:53.291384-10,,,,4102,107,,76,,,,
119,2013-09-19 17:55:52.291384-10,,,,,,,75,,,,
119,2013-09-19 17:55:51.291384-10,,,,,,,71,,,,
119,2013-09-19 17:55:50.291384-10,,,,,,,77,,,,
119,2013-09-19 17:55:49.291384-10,,,,4106,100,,73,,,,
119,2013-09-19 17:55:48.291384-10,,,,,,,75,,,,
119,2013-09-19 17:55:47.291384-10,,,,,,,76,,,,
119,2013-09-19 17:55:46.291384-10,,,,,,,71,,,,
119,2013-09-19 17:55:45.291384-10,,,,4096,92,,73,,,,
119,2013-09-19 17:55:44.291384-10,,,,,,,74,,,,
119,2013-09-19 17:55:43.291384-10,,,,,,,65,,,,
119,2013-09-19 17:55:42.291384-10,,,,,,,70,,,,
119,2013-09-19 17:55:41.291384-10,,,,4104,97,,74,,,,
119,2013-09-19 17:55:40.291384-10,,,,,,,74,,,,
119,2013-09-19 17:55:39.291384-10,,,,,,,67,,,,
119,2013-09-19 17:55:38.291384-10,,,,,,,64,,,,
119,2013-09-19 17:55:37.291384-10,,,,4098,107,,63,,,,
119,2013-09-19 17:55:36.291384-10,,,,,,,71,,,,
119,2013-09-19 17:55:35.291384-10,,,,,,,63,,,,
119,2013-09-19 17:55:34.291384-10,,,,,,,73,,,,
119,2013-09-19 17:55:33.291384-10,,,,4110,115,,67,,,,
119,2013-09-19 17:55:32.291384-10,,,,,,,61,,,,
119,2013-09-19 17:55:31.291384-10,,,,,,,64,,,,
119,2013-09-19 17:55:30.291384-10,,,,,,,69,,,,
112,2013-09-19 17:56:58.160406-10,158334,359,100883,4152,119,,4993,,,,0
112,2013-09-19 17:56:57.160406-10,,,,,,,4990,,,,
112,2013-09-19 17:56:56.160406-10,,,,,,,4991,,,,
112,2013-09-19 17:56:55.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:54.160406-10,,,,4143,130,,4990,,,,
112,2013-09-19 17:56:53.160406-10,,,,,,,4994,,,,
112,2013-09-19 17:56:52.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:51.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:50.160406-10,,,,4148,133,,4985,,,,
112,2013-09-19 17:56:49.160406-10,,,,,,,4987,,,,
112,2013-09-19 17:56:48.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:47.160406-10,,,,,,,4987,,,,
112,2013-09-19 17:56:46.160406-10,,,,4151,129,,4989,,,,
112,2013-09-19 17:56:45.160406-10,,,,,,,4990,,,,
112,2013-09-19 17:56:44.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:43.160406-10,,,,,,,4995,,,,
112,2013-09-19 17:56:42.160406-10,,,,4148,131,,4991,,,,
112,2013-09-19 17:56:41.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:40.160406-10,,,,,,,4991,,,,
112,2013-09-19 17:56:39.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:38.160406-10,,,,4155,136,,4993,,,,
112,2013-09-19 17:56:37.160406-10,,,,,,,4994,,,,
112,2013-09-19 17:56:36.160406-10,,,,,,,4991,,,,
112,2013-09-19 17:56:35.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:34.160406-10,,,,4158,136,,4993,,,,
112,2013-09-19 17:56:33.160406-10,,,,,,,4996,,,,
112,2013-09-19 17:56:32.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:31.160406-10,,,,,,,4991,,,,
112,2013-09-19 17:56:30.160406-10,,,,4153,128,,4991,,,,
112,2013-09-19 17:56:29.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:28.160406-10,,,,,,,4995,,,,
112,2013-09-19 17:56:27.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:26.160406-10,,,,4144,116,,4986,,,,
112,2013-09-19 17:56:25.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:24.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:23.160406-10,,,,,,,4990,,,,
112,2013-09-19 17:56:22.160406-10,,,,4133,130,,4991,,,,
112,2013-09-19 17:56:21.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:20.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:19.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:18.160406-10,,,,4152,130,,4985,,,,
112,2013-09-19 17:56:17.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:16.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:15.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:14.160406-10,,,,4153,123,,4991,,,,
112,2013-09-19 17:56:13.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:12.160406-10,,,,,,,4991,,,,
112,2013-09-19 17:56:11.160406-10,,,,,,,4993,,,,
112,2013-09-19 17:56:10.160406-10,,,,4159,113,,4986,,,,
112,2013-09-19 17:56:09.160406-10,,,,,,,4991,,,,
112,2013-09-19 17:56:08.160406-10,,,,,,,4995,,,,
112,2013-09-19 17:56:07.160406-10,,,,,,,4990,,,,
112,2013-09-19 17:56:06.160406-10,,,,4159,115,,4988,,,,
112,2013-09-19 17:56:05.160406-10,,,,,,,4997,,,,
112,2013-09-19 17:56:04.160406-10,,,,,,,4990,,,,
112,2013-09-19 17:56:03.160406-10,,,,,,,4988,,,,
112,2013-09-19 17:56:02.160406-10,,,,4145,114,,4988,,,,
112,2013-09-19 17:56:01.160406-10,,,,,,,4989,,,,
112,2013-09-19 17:56:00.160406-10,,,,,,,4996,,,,
112,2013-09-19 17:55:59.160406-10,,,,,,,4987,,,,
112,2013-09-19 17:57:28.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:27.65146-10,,,,4149,108,,4990,,,,
112,2013-09-19 17:57:26.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:25.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:24.65146-10,,,,,,,4990,,,,
112,2013-09-19 17:57:23.65146-10,,,,4147,131,,4988,,,,
112,2013-09-19 17:57:22.65146-10,,,,,,,4993,,,,
112,2013-09-19 17:57:21.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:20.65146-10,,,,,,,4988,,,,
112,2013-09-19 17:57:19.65146-10,,,,4163,130,,4992,,,,
112,2013-09-19 17:57:18.65146-10,,,,,,,4990,,,,
119,2013-09-19 17:57:29.569446-10,147462,293,101053,4096,120,,0,,,,0
119,2013-09-19 17:57:28.569446-10,,,,,,,2,,,,
119,2013-09-19 17:57:27.569446-10,,,,,,,1,,,,
119,2013-09-19 17:57:26.569446-10,,,,,,,2,,,,
119,2013-09-19 17:57:25.569446-10,,,,4104,114,,1,,,,
119,2013-09-19 17:57:24.569446-10,,,,,,,6,,,,
119,2013-09-19 17:57:23.569446-10,,,,,,,7,,,,
119,2013-09-19 17:57:22.569446-10,,,,,,,3,,,,
119,2013-09-19 17:57:21.569446-10,,,,4096,110,,14,,,,
119,2013-09-19 17:57:20.569446-10,,,,,,,15,,,,
119,2013-09-19 17:57:19.569446-10,,,,,,,19,,,,
119,2013-09-19 17:57:18.569446-10,,,,,,,23,,,,
119,2013-09-19 17:57:17.569446-10,,,,4096,116,,20,,,,
119,2013-09-19 17:57:16.569446-10,,,,,,,18,,,,
119,2013-09-19 17:57:15.569446-10,,,,,,,17,,,,
119,2013-09-19 17:57:14.569446-10,,,,,,,23,,,,
119,2013-09-19 17:57:13.569446-10,,,,4108,115,,31,,,,
119,2013-09-19 17:57:12.569446-10,,,,,,,38,,,,
119,2013-09-19 17:57:11.569446-10,,,,,,,35,,,,
119,2013-09-19 17:57:10.569446-10,,,,,,,32,,,,
119,2013-09-19 17:57:09.569446-10,,,,4103,111,,23,,,,
119,2013-09-19 17:57:08.569446-10,,,,,,,22,,,,
119,2013-09-19 17:57:07.569446-10,,,,,,,34,,,,
119,2013-09-19 17:57:06.569446-10,,,,,,,37,,,,
119,2013-09-19 17:57:05.569446-10,,,,4087,101,,28,,,,
119,2013-09-19 17:57:04.569446-10,,,,,,,27,,,,
119,2013-09-19 17:57:03.569446-10,,,,,,,36,,,,
119,2013-09-19 17:57:02.569446-10,,,,,,,40,,,,
119,2013-09-19 17:57:01.569446-10,,,,4093,106,,34,,,,
119,2013-09-19 17:57:00.569446-10,,,,,,,32,,,,
119,2013-09-19 17:56:59.569446-10,,,,,,,32,,,,
119,2013-09-19 17:56:58.569446-10,,,,,,,50,,,,
119,2013-09-19 17:56:57.569446-10,,,,4103,117,,42,,,,
119,2013-09-19 17:56:56.569446-10,,,,,,,185,,,,
119,2013-09-19 17:56:55.569446-10,,,,,,,521,,,,
119,2013-09-19 17:56:54.569446-10,,,,,,,407,,,,
119,2013-09-19 17:56:53.569446-10,,,,4103,118,,453,,,,
119,2013-09-19 17:56:52.569446-10,,,,,,,620,,,,
119,2013-09-19 17:56:51.569446-10,,,,,,,618,,,,
119,2013-09-19 17:56:50.569446-10,,,,,,,553,,,,
119,2013-09-19 17:56:49.569446-10,,,,4098,108,,540,,,,
119,2013-09-19 17:56:48.569446-10,,,,,,,621,,,,
119,2013-09-19 17:56:47.569446-10,,,,,,,66,,,,
119,2013-09-19 17:56:46.569446-10,,,,,,,103,,,,
119,2013-09-19 17:56:45.569446-10,,,,4100,104,,89,,,,
119,2013-09-19 17:56:44.569446-10,,,,,,,89,,,,
119,2013-09-19 17:56:43.569446-10,,,,,,,85,,,,
119,2013-09-19 17:56:42.569446-10,,,,,,,74,,,,
119,2013-09-19 17:56:41.569446-10,,,,4108,113,,87,,,,
119,2013-09-19 17:56:40.569446-10,,,,,,,94,,,,
119,2013-09-19 17:56:39.569446-10,,,,,,,73,,,,
119,2013-09-19 17:56:38.569446-10,,,,,,,75,,,,
119,2013-09-19 17:56:37.569446-10,,,,4106,100,,48,,,,
119,2013-09-19 17:56:36.569446-10,,,,,,,75,,,,
